"sf16_bldgid","area_id","mblr","p2010_name","p2010_zminn88ft","p2010_zmaxn88ft","gnd_cells50cm","gnd_mincm","gnd_maxcm","gnd_rangecm","gnd_meancm","gnd_stdcm","gnd_varietycm","gnd_majoritycm","gnd_minoritycm","gnd_mediancm","cells50cm_1st","mincm_1st","maxcm_1st","rangecm_1st","meancm_1st","stdcm_1st","varietycm_1st","majoritycm_1st","minoritycm_1st","mediancm_1st","hgt_cells50cm","hgt_mincm","hgt_maxcm","hgt_rangecm","hgt_meancm","hgt_stdcm","hgt_varietycm","hgt_majoritycm","hgt_minoritycm","hgt_mediancm","gnd_min_m","median_1st_m","hgt_median_m","gnd1st_delta","peak_1st_m","globalid","shape","data_as_of","data_loaded_at"
"201006.0089308","89308","SF2818019",,,,"498","17607","18079","472","17892.662650599999","109.17977626","287","17954","17607","17910","498","18127","18750","623","18637.77710843","109.76353059","197","18710","18127","18680","498","312","1013","701","745.10040160999995","147.28365783000001","326","946","312","755","176.06999999999999","186.80000000000001","7.5499999999999998","10.73","187.5","{E6FB900F-12E8-40A0-91DB-D4E684DF2CCD}","MULTIPOLYGON (((-122.464433546 37.750279027, -122.464398945 37.75028064, -122.464390257 37.750162831, -122.464497281 37.750157826, -122.464502256 37.750225409, -122.464495741 37.750225736, -122.464497239 37.75024344, -122.464483413 37.750244217, -122.464485772 37.75027656, -122.464479116 37.750276902, -122.464480495 37.750295881, -122.46443492 37.750297976, -122.464433546 37.750279027)))","2023/09/11 12:00:00 PM","2025/11/30 10:07:19 AM"
"201006.0089309","89309","SF6995030","SanfranP_5645.flt","265.06389999999999","303.47789999999998","497","8447","8609","162","8522.6981891300002","37.924067110000003","149","8470","8447","8521","497","8700","9146","446","9085.0583501000001","58.313164610000001","117","9102","8700","9100","497","240","663","423","562.36217304000002","60.698662120000002","178","602","240","570","84.469999999999999","91","5.7000000000000002","6.5300000000000002","91.459999999999994","{D082A1E0-E926-4754-A52A-BA88EDDCBDA4}","MULTIPOLYGON (((-122.468658482 37.720164532, -122.468829742 37.720162173, -122.468830365 37.720178153, -122.468831148 37.720179437, -122.4688358 37.720182588, -122.468842089 37.720192961, -122.468843358 37.720203787, -122.468840029 37.720215976, -122.468833767 37.720226526, -122.468738114 37.720230391, -122.468737662 37.720220419, -122.4686243 37.720223611, -122.468622193 37.720176575, -122.468622248 37.720176514, -122.46865897 37.72017547, -122.468658482 37.720164532)))","2023/09/11 12:00:00 PM","2025/11/30 10:07:19 AM"
"201006.0089310","89310","SF6724017","SanfranH_10121.flt","175.9358","214.20769999999999","500","5391","5542","151","5478.5540000000001","31.25884009","127","5521","5391","5479","500","5980","6462","482","6243.5860000000002","65.166176840000006","201","6238","5980","6238","500","527","933","406","765.03399999999999","65.466516970000001","204","744","527","774","53.909999999999997","62.380000000000003","7.7400000000000002","8.4700000000000006","64.620000000000005","{BD4E40F5-6882-4C2E-9EAD-8CB83050D81B}","MULTIPOLYGON (((-122.430232722 37.733461981, -122.430023658 37.733481134, -122.430021287 37.733466491, -122.430021167 37.733466504, -122.43002115 37.733466416, -122.430020721 37.733466449, -122.430018233 37.733451638, -122.430017065 37.733445718, -122.430014563 37.733424763, -122.430014599 37.733424688, -122.430178493 37.73340759, -122.430178486 37.733407516, -122.430178521 37.733407442, -122.430182005 37.733407223, -122.430186236 37.733406782, -122.430186269 37.733406956, -122.430207408 37.733405635, -122.430237907 37.733403171, -122.430242415 37.73343758, -122.430242397 37.733437619, -122.430230434 37.733438481, -122.430232716 37.733461909, -122.430232722 37.733461981)))","2023/09/11 12:00:00 PM","2025/11/30 10:07:19 AM"
"201006.0089311","89311","SF1600022","SanfranJ_0572.flt","75.869399999999999","97.662999999999997","497","2329","2348","19","2338.40442656","5.08869229","20","2345","2329","2338","497","2641","2999","358","2920.5372233399999","40.583658319999998","122","2916","2641","2915","497","295","667","372","582.12072435000005","43.628594280000002","136","573","295","575","23.289999999999999","29.149999999999999","5.75","5.8600000000000003","29.989999999999998","{6CCDD600-FD8E-4589-8CFD-81524547C9AE}","MULTIPOLYGON (((-122.505470997 37.773796328, -122.505470971 37.773780758, -122.505435211 37.773782127, -122.505433798 37.77374521, -122.505433892 37.773745189, -122.505466468 37.773743359, -122.505465911 37.773728612, -122.505466006 37.773728591, -122.505579592 37.773722143, -122.505582021 37.773733605, -122.505622386 37.773731216, -122.50562239 37.773731118, -122.505622498 37.773731096, -122.505652071 37.773729521, -122.505652324 37.773788171, -122.50565224 37.773788189, -122.505620788 37.773789674, -122.50562079 37.77378958, -122.50558302 37.773790683, -122.505582284 37.773781241, -122.505547139 37.773781793, -122.505546261 37.773793241, -122.505546169 37.773793261, -122.505470997 37.773796328)))","2023/09/11 12:00:00 PM","2025/11/30 10:07:19 AM"
